Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie ON [l/h]",Dzienne zużycie ON [l/8h],Cena hurtowa ON 1000l [PLN],"Maksymalne, chwilowe zużycie energii elektrycznej [kW]",Dzienne zużycie energii elektrycznej [kW/8h],Cena energii elektrycznej [kWh],Koszt dzienny [PLN],Prędkość wiatru [km/h],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa]
1,11/4/2019,5,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
2,11/4/2019,8,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
3,11/4/2019,15,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
4,11/5/2019,5,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
5,11/5/2019,8,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
6,11/5/2019,15,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
7,11/6/2019,5,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
8,11/6/2019,8,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
9,11/6/2019,15,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
10,11/7/2019,5,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
11,11/7/2019,8,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
12,11/7/2019,15,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
13,11/8/2019,5,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
14,11/8/2019,8,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
15,11/8/2019,15,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
16,11/12/2019,5,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
17,11/12/2019,8,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
18,11/12/2019,15,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
19,11/13/2019,5,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
20,11/13/2019,8,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
21,11/13/2019,15,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
22,11/14/2019,5,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
23,11/14/2019,8,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
24,11/14/2019,15,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
25,11/15/2019,5,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
26,11/15/2019,8,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
27,11/15/2019,15,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
28,11/18/2019,5,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
29,11/18/2019,8,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
30,11/18/2019,15,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
31,11/19/2019,5,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
32,11/19/2019,8,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
33,11/19/2019,15,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
